year,city,country,avg_temp
1849,Sacramento,United States,14.12
1850,Sacramento,United States,13.80
1851,Sacramento,United States,14.39
1852,Sacramento,United States,13.81
1853,Sacramento,United States,14.40
1854,Sacramento,United States,13.98
1855,Sacramento,United States,14.20
1856,Sacramento,United States,14.10
1857,Sacramento,United States,14.78
1858,Sacramento,United States,14.19
1859,Sacramento,United States,13.71
1860,Sacramento,United States,13.81
1861,Sacramento,United States,14.88
1862,Sacramento,United States,14.43
1863,Sacramento,United States,14.43
1864,Sacramento,United States,15.18
1865,Sacramento,United States,14.32
1866,Sacramento,United States,14.67
1867,Sacramento,United States,14.46
1868,Sacramento,United States,14.25
1869,Sacramento,United States,14.57
1870,Sacramento,United States,14.19
1871,Sacramento,United States,14.34
1872,Sacramento,United States,14.63
1873,Sacramento,United States,14.46
1874,Sacramento,United States,14.09
1875,Sacramento,United States,14.76
1876,Sacramento,United States,14.44
1877,Sacramento,United States,15.03
1878,Sacramento,United States,14.37
1879,Sacramento,United States,14.20
1880,Sacramento,United States,13.22
1881,Sacramento,United States,14.39
1882,Sacramento,United States,13.58
1883,Sacramento,United States,13.93
1884,Sacramento,United States,14.05
1885,Sacramento,United States,15.05
1886,Sacramento,United States,14.58
1887,Sacramento,United States,14.38
1888,Sacramento,United States,14.70
1889,Sacramento,United States,14.81
1890,Sacramento,United States,14.05
1891,Sacramento,United States,14.46
1892,Sacramento,United States,14.05
1893,Sacramento,United States,13.40
1894,Sacramento,United States,13.80
1895,Sacramento,United States,13.95
1896,Sacramento,United States,14.22
1897,Sacramento,United States,13.81
1898,Sacramento,United States,13.77
1899,Sacramento,United States,14.04
1900,Sacramento,United States,14.64
1901,Sacramento,United States,14.34
1902,Sacramento,United States,14.07
1903,Sacramento,United States,14.12
1904,Sacramento,United States,14.50
1905,Sacramento,United States,14.39
1906,Sacramento,United States,14.81
1907,Sacramento,United States,14.34
1908,Sacramento,United States,14.01
1909,Sacramento,United States,14.05
1910,Sacramento,United States,14.17
1911,Sacramento,United States,13.46
1912,Sacramento,United States,13.95
1913,Sacramento,United States,14.38
1914,Sacramento,United States,14.33
1915,Sacramento,United States,14.30
1916,Sacramento,United States,13.61
1917,Sacramento,United States,14.06
1918,Sacramento,United States,14.14
1919,Sacramento,United States,13.60
1920,Sacramento,United States,13.72
1921,Sacramento,United States,14.24
1922,Sacramento,United States,13.61
1923,Sacramento,United States,14.13
1924,Sacramento,United States,14.10
1925,Sacramento,United States,14.34
1926,Sacramento,United States,15.14
1927,Sacramento,United States,14.24
1928,Sacramento,United States,14.32
1929,Sacramento,United States,14.25
1930,Sacramento,United States,14.25
1931,Sacramento,United States,14.93
1932,Sacramento,United States,14.24
1933,Sacramento,United States,13.93
1934,Sacramento,United States,15.31
1935,Sacramento,United States,14.12
1936,Sacramento,United States,15.13
1937,Sacramento,United States,14.36
1938,Sacramento,United States,14.35
1939,Sacramento,United States,14.81
1940,Sacramento,United States,15.12
1941,Sacramento,United States,14.98
1942,Sacramento,United States,14.20
1943,Sacramento,United States,14.72
1944,Sacramento,United States,14.17
1945,Sacramento,United States,14.41
1946,Sacramento,United States,13.83
1947,Sacramento,United States,14.51
1948,Sacramento,United States,13.65
1949,Sacramento,United States,13.90
1950,Sacramento,United States,14.66
1951,Sacramento,United States,14.06
1952,Sacramento,United States,14.11
1953,Sacramento,United States,14.42
1954,Sacramento,United States,14.18
1955,Sacramento,United States,13.74
1956,Sacramento,United States,14.08
1957,Sacramento,United States,14.59
1958,Sacramento,United States,15.41
1959,Sacramento,United States,15.39
1960,Sacramento,United States,14.59
1961,Sacramento,United States,14.65
1962,Sacramento,United States,14.22
1963,Sacramento,United States,14.19
1964,Sacramento,United States,14.24
1965,Sacramento,United States,14.14
1966,Sacramento,United States,14.74
1967,Sacramento,United States,14.50
1968,Sacramento,United States,14.66
1969,Sacramento,United States,14.51
1970,Sacramento,United States,14.76
1971,Sacramento,United States,13.89
1972,Sacramento,United States,14.25
1973,Sacramento,United States,14.58
1974,Sacramento,United States,14.41
1975,Sacramento,United States,13.82
1976,Sacramento,United States,14.72
1977,Sacramento,United States,14.63
1978,Sacramento,United States,14.96
1979,Sacramento,United States,14.99
1980,Sacramento,United States,14.74
1981,Sacramento,United States,15.22
1982,Sacramento,United States,14.00
1983,Sacramento,United States,15.07
1984,Sacramento,United States,14.97
1985,Sacramento,United States,14.23
1986,Sacramento,United States,15.00
1987,Sacramento,United States,14.95
1988,Sacramento,United States,15.08
1989,Sacramento,United States,14.45
1990,Sacramento,United States,14.73
1991,Sacramento,United States,14.50
1992,Sacramento,United States,15.53
1993,Sacramento,United States,14.97
1994,Sacramento,United States,14.21
1995,Sacramento,United States,15.31
1996,Sacramento,United States,15.56
1997,Sacramento,United States,15.75
1998,Sacramento,United States,14.38
1999,Sacramento,United States,14.41
2000,Sacramento,United States,15.02
2001,Sacramento,United States,15.25
2002,Sacramento,United States,15.00
2003,Sacramento,United States,15.43
2004,Sacramento,United States,15.37
2005,Sacramento,United States,15.17
2006,Sacramento,United States,15.02
2007,Sacramento,United States,14.94
2008,Sacramento,United States,15.05
2009,Sacramento,United States,15.02
2010,Sacramento,United States,14.67
2011,Sacramento,United States,14.50
2012,Sacramento,United States,15.05
2013,Sacramento,United States,16.23
